,,,,,,,,,,
Attribute,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy
seismic,0.252136752,-0.008547009,-0.025641026,-3662.777778,86.86324786,3.115384615,1.08974359,-0.004273504,2399.786325,2097.222222
seismoacoustic,-0.008547009,0.277560481,0.001014052,-16968.51659,-57.48399247,7.251774591,7.075184702,0.062726351,654.8457193,438.7367811
shift,-0.025641026,0.001014052,0.092133855,-18050.31291,-78.99492974,-2.146458062,1.409821817,0.000724323,-432.4424163,-268.9482834
genergy,-3662.777778,-16968.51659,-18050.31291,91103135691,169600380,-1316901.103,-1341380.227,-8842.926988,244502084.4,308969296.9
gpuls,86.86324786,-57.48399247,-78.99492974,169600380,607827.5373,2971.053745,4004.734898,-2.455599015,1381372.092,1575027.445
gdenergy,3.115384615,7.251774591,-2.146458062,-1316901.103,2971.053745,4281.686006,3078.950094,4.405113719,-181329.317,-157846.1937
gdpuls,1.08974359,7.075184702,1.409821817,-1341380.227,4004.734898,3078.950094,3290.084384,4.753947559,-125840.5078,-115658.2681
ghazard,-0.004273504,0.062726351,0.000724323,-8842.926988,-2.455599015,4.405113719,4.753947559,0.071056063,778.3391279,831.301608
energy,2399.786325,654.8457193,-432.4424163,244502084.4,1381372.092,-181329.317,-125840.5078,778.3391279,327931288.8,272370689
maxenergy,2097.222222,438.7367811,-268.9482834,308969296.9,1575027.445,-157846.1937,-115658.2681,831.301608,272370689,239478387.1
